"mode","ncores","NodeList","concat","queue_limit","Elapsed","ConsumedEnergy","nAveVMSize"
"local",32,"gl6",NA,NA,00:20:29,"192.52K",193712632000
"hpc",NA,"gl2",1,50,02:57:39,"163.72K",5682912000
"hpc",NA,"gl2",1,100,03:35:58,"56.21K",5682880000
"hpc",NA,"gl2",1,4949,02:39:59,"55.23K",5682880000
"hpc",NA,"gl2",32,50,02:24:03,"37.78K",5672608000
"hpc",NA,"gl2",32,100,02:23:31,"38.49K",5672576000
"hpc",NA,"gl2",32,4949,02:24:08,"38.17K",5672576000
"local",8,"gl6",NA,NA,00:44:00,"332.29K",50618260000
"local",16,"gl6",NA,NA,00:25:32,"221.37K",98646448000
"hpc",NA,"gl2",16,50,02:55:11,"226.01K",5670560000
"hpc",NA,"gl2",16,100,02:24:19,"172.35K",5672576000
"hpc",NA,"gl2",16,4949,02:24:28,"300.72K",5672544000
"hpc",NA,"gl2",1,100,02:50:28,"44.12K",5676800000
"local",2,"gl5",NA,NA,02:24:57,"679.13K",14407388000
"local",2,"gl2",NA,NA,02:00:52,"245.07K",9675352000
"local",4,"gl5",NA,NA,01:15:22,"443.41K",26442180000
"local",4,"gl2",NA,NA,01:08:18,"196.83K",18557920000
"local",8,"gl5",NA,NA,00:41:57,"277.56K",50560204000
"local",8,"gl2",NA,NA,00:52:59,"185.51K",36385740000
"local",32,"gl5",NA,NA,00:21:00,"172.49K",193701104000
"local",16,"gl5",NA,NA,00:26:08,"194.21K",98754428000
