treatment id,JobID,JobName,mode,parameters,haddock workflow,notes,NodeList,State,Start,End,ConsumedEnergy,AveRSS,AveDiskRead,AveDiskWrite,AveVMSize,Elapsed,nConsumerEnergy,nAveRSS,nAveDiskRead,nAveDiskWrite,nAveVMSize
1,29411.batch,docking-protein-protein-local-32.cfg,local,"{""ncores"": 32}",docking-protein-protein-merged,required,gl6,COMPLETED,2023-10-20 21:13:33,2023-10-20 21:34:02,192.52K,4087996K,5345.70M,805.07M,193712632K,00:20:29,192520,4087996000,5345700000,805070000,193712632000
2,29412.batch,docking-protein-protein-hpc-1-50.cfg,hpc,"{""concat"": 1, ""queue_limit"": 50}",docking-protein-protein-merged,required,GreenLab-STF,COMPLETED,2023-10-20 21:34:03,2023-10-21 00:31:42,163.72K,720592K,3432.77M,60.26M,5682912K,02:57:39,163720,720592000,3432770000,60260000,5682912000
3,29413.batch,docking-protein-protein-hpc-1-100.cfg,hpc,"{""concat"": 1, ""queue_limit"": 100}",docking-protein-protein-merged,required,GreenLab-STF,COMPLETED,2023-10-21 00:31:42,2023-10-21 04:07:40,56.21K,723140K,3562.66M,63.71M,5682880K,03:35:58,56210,723140000,3562660000,63710000,5682880000
4,29414.batch,docking-protein-protein-hpc-1-4949.cfg,hpc,"{""concat"": 1, ""queue_limit"": 4949}",docking-protein-protein-merged,required,GreenLab-STF,COMPLETED,2023-10-21 04:07:41,2023-10-21 06:47:40,55.23K,726456K,5076.73M,107.37M,5682880K,02:39:59,55230,726456000,5076730000,107370000,5682880000
5,29415.batch,docking-protein-protein-hpc-32-50.cfg,hpc,"{""concat"": 32, ""queue_limit"": 50}",docking-protein-protein-merged,required,GreenLab-STF,COMPLETED,2023-10-21 06:47:41,2023-10-21 09:11:44,37.78K,712784K,3484.69M,61.74M,5672608K,02:24:03,37780,712784000,3484690000,61740000,5672608000
6,29416.batch,docking-protein-protein-hpc-32-100.cfg,hpc,"{""concat"": 32, ""queue_limit"": 100}",docking-protein-protein-merged,required,GreenLab-STF,COMPLETED,2023-10-21 09:11:45,2023-10-21 11:35:16,38.49K,718344K,3484.00M,61.27M,5672576K,02:23:31,38490,718344000,3484000000,61270000,5672576000
7,29417.batch,docking-protein-protein-hpc-32-4949.cfg,hpc,"{""concat"": 32, ""queue_limit"": 4949}",docking-protein-protein-merged,required,GreenLab-STF,COMPLETED,2023-10-21 11:35:17,2023-10-21 13:59:25,38.17K,719884K,3484.96M,61.69M,5672576K,02:24:08,38170,719884000,3484960000,61690000,5672576000
8,29418.batch,docking-protein-protein-local-8.cfg,local,"{""ncores"": 8}",docking-protein-protein-merged,optional,gl6,COMPLETED,2023-10-21 13:59:25,2023-10-21 14:43:25,332.29K,1208272K,5345.70M,805.07M,50618260K,00:44:00,332290,1208272000,5345700000,805070000,50618260000
9,29419.batch,docking-protein-protein-local-16.cfg,local,"{""ncores"": 16}",docking-protein-protein-merged,optional,gl6,COMPLETED,2023-10-21 14:43:26,2023-10-21 15:08:58,221.37K,2221520K,5345.70M,805.16M,98646448K,00:25:32,221370,2221520000,5345700000,805160000,98646448000
10,29420.batch,docking-protein-protein-hpc-16-50.cfg,hpc,"{""concat"": 16, ""queue_limit"": 50}",docking-protein-protein-merged,optional,GreenLab-STF,COMPLETED,2023-10-21 15:08:58,2023-10-21 18:04:09,226.01K,712928K,3396.02M,57.67M,5670560K,02:55:11,226010,712928000,3396020000,57670000,5670560000
